fecha;ica_expo_total;ica_impo_total;ica_saldo;ica_expo_pp;ica_expo_moa;ica_expo_moi;ica_expo_ce;ica_impo_bk;ica_impo_bi;ica_impo_cyl;ica_impo_piezas;ica_impo_bc;ica_impo_vehic;ica_impo_resto
2003-01-01;2194.600115;798.965113;1395.6350020000002;370.35349;753.615504;607.407919;463.223202;96.300775;423.973575;41.363525;136.22486;88.500221;11.690994;0.911163
2003-02-01;2128.348099;776.897236;1351.4508629999998;428.562436;706.271563;520.12542;473.38868;114.511506;390.455524;38.293964;131.55401;88.108937;13.256141;0.717154
2003-03-01;2252.140654;933.671292;1318.4693619999998;507.637171;678.495972;641.022722;424.984789;201.05768;426.986108;34.298686;159.565522;97.027439;13.852896;0.882961
2003-04-01;2458.771586;1109.900313;1348.8712729999995;814.762614;662.055442;594.653119;387.300411;180.06337;525.552222;53.139875;186.211828;128.417864;35.590802;0.924352
2003-05-01;3122.970139;1085.073495;2037.896644;898.917291;864.310822;957.103502;402.638524;152.683301;536.803492;59.122639;184.060344;125.404555;26.029639;0.969525
2003-06-01;2874.302247;1149.080471;1725.221776;909.610853;886.388044;658.448693;419.854657;179.687443;534.58596;61.500779;181.906962;147.349396;42.900399;1.149532
2003-07-01;2835.561342;1259.782508;1575.778834;815.672222;917.47846;644.653358;457.757302;210.569511;575.72733;46.239525;206.075704;168.876432;51.05717;1.236836
2003-08-01;2346.896698;1135.068814;1211.827884;403.893268;840.280832;606.823289;495.899309;176.782067;524.548437;37.646632;198.886504;151.302499;44.710817;1.191858
2003-09-01;2368.509313;1318.22355;1050.285763;339.077156;867.260403;696.371918;465.799836;245.849931;575.619592;39.183944;217.944966;171.785933;66.871315;0.967869
2003-10-01;2441.194198;1439.599106;1001.5950920000002;319.869864;947.327605;732.546226;441.450503;264.288139;607.070695;43.657334;250.85529;208.62121;64.081589;1.024849
